Code,CPU,RAM_ROM,Grade
SPD9832E,Spreadtrum SC9832E 4G,2GB/16GB,C
SPD9863A,Unisoc SC9863A,2GB/32GB,B
T606,Unisoc Tiger T606,4GB/64GB,A
T610,Unisoc Tiger T610,4GB/64GB,A
T612,Unisoc Tiger T612,4GB/64GB,A
T616,Unisoc Tiger T616,6GB/128GB,A
T700,Unisoc Tiger T700,4GB/64GB,A
T820,Unisoc Tanggula T820 5G,8GB/256GB,A
AKLMAG4FE4B-B002,Samsung eMMC 5.0,2GB/16GB,C
KLS1G6JEAB-B0E1,Samsung UFS 4.0,8GB/256GB,A
KLS2G6JEAB-B0E1,Samsung UFS 4.0,12GB/512GB,A
KLS4G8JEAB-B0E1,Samsung UFS 4.0,16GB/1TB,A
AH9TP32A4GDBCPR,SKhynix eMCP,1GB/8GB,D
HN28T1024HKX0,SKhynix UFS 3.1,12GB/512GB,A
ASDIN9DW4-16G,SanDisk eMMC 5.1,2GB/16GB,C
AMSM8916,Snapdragon 410,1GB/8GB,D
MSM8953,Snapdragon 625,3GB/32GB,B
SM8650,Snapdragon 8 Gen 3,16GB/512GB,A
SM4450,Snapdragon 4 Gen 2 5G,6GB/128GB,A
SM7450,Snapdragon 7+ Gen 2,8GB/256GB,A
ASPD7731E,Spreadtrum SC7731E 3G,1GB/8GB,D
T618,Unisoc Tiger T618,6GB/128GB,A
Exynos2200,Exynos 2200 5G,12GB/256GB,A
Exynos2400,Exynos 2400 5G,12GB/512GB,A
AKLMAG1JETD-B041,Samsung eMMC 5.0,1GB/8GB,D
KLM8G1WEPD-B031,Samsung eMMC 5.0,1GB/8GB,D
SDIN8DE2-8G,SanDisk eMMC 5.0,1GB/8GB,D
SDIN9DW2-8G,SanDisk eMMC 5.1,1GB/8GB,D
DKLMBG8FE4B-B001,Samsung eMMC 5.1,3GB/32GB,B
KLUBG4G1CE-B0B1,Samsung UFS 2.0,3GB/32GB,B
SDINBDG4-…KLMCGAFE4B-B001,Samsung eMMC 5.1,4GB/64GB,A
KLUCG4G1BD-E0B1,Samsung UFS 2.0,4GB/64GB,A
H9TQ27ADFTMCUR,SKhynix eMCP,4GB/64GB,A
SDINBDG4-64G,SanDisk eMMC 5.1,4GB/64GB,A
SDINDDH4-64G,SanDisk eMMC 5.1,4GB/64GB,A
AKLMEGSUCTA-B041,Samsung eMMC 5.1,8GB/256GB,A
MT6895V,MediaTek Dimensity 8100 5G,8GB/256GB,A
AKLUGG8UHDB-B0D1,Samsung UFS 3.1,16GB/512GB,A
MT6985V,MediaTek Dimensity 9200 5G,12GB/512GB,A
